"ID","Year of first issue","Day/month of first issue","Date of last issue","Title","Place of publication","Owners/ publishers/ editors","Comments","Source","Holdings"
"t1r137",1878,"April","still 1880","Al-Waqt (li-Jarīdat al-Ahrām)","Alexandria","Salīm Taqlā and Bishāra Taqlā","","+","DKQM:1879-1880"
"t1r138",1878,"","still in April 1900","Zamān","Nicosia, Cyprus","Darwīsh Pasha and Shaykh Ḥabīb al-Khūrī","Ottoman Turkish and Arabic","Its import into the OE was banned in April 1900, source PRO FO 195/2075 Beirut 23, Drummond-Hay to O'Conor 18 Apr. 1900; Ṭ",""
"t1r140",1879,"21 March","December 1879; then again this title appears between 21 April and 4 August 1882 and November 1882 and 8 December 1883","Abū Naẓẓāra Zarqā (again under this title)","Paris","Jams Sānuwā","Arabic, then Arabic-French","Ṭ, S","online at archive.org, BnF, DKQM: 1879 December, IMA: 1878-1910 , reprint Beirut"
"t1r141",1879,"Nov.","one issue","Bustān al-Akhbār","Cairo","Ṣāliḥ Riḍwān","","S",""
"t1r142",1879,"","","Ḥall al-Masʾalatayn al-Sharqiyya wa’l-Gharbiyya","London","Rizq Allāh Ḥassūn","","S",""
"t1r143",1879,"","","Istiqbāl","Naples","Ibrāhīm al-Muwayliḥī","Ottoman Turkish and Arabic","S",""
"t1r144",1879,"25 July","","Al-Iʿtidāl","Aleppo","ʿAbd al-Raḥmān al-Kawākibī","","Ṭ","Ayn:?"
"t1r145",1879,"","one issue","Juhaynat al-Akhbār","Nicosia, Cyprus","Shaykh ʿAbd Allāh al-Bustānī and Iskandar ʿAmmūn","","Ṭ",""
"t1r146",1879,"","","Kanz al-Zirāʿa","Cairo","Al-Jamʿiyya al-Zirāʿiyya al-Miṣriyya","Arabic and French","","No evidence for its appearance"
"t1r147",1879,"15 May","1 December 1883","Al-Kawkab al-Miṣrī","Cairo","Mūsā Kāstilī/Castelli publisher; first editor ? Shaykh Muḥammad Wafā","","+",""
"t1r148",1879,"","two issues","Al-Khilāfa","Naples","Ibrāhīm al-Muwayliḥī","Ottoman Turkish and Arabic","S, Ṭ",""
"t1r149",1879,"","1883?","Al-Maymūn","Cairo","Mūsā Kāstilī/Castelli","partly in colloquial Arabic","S","See Jewish Contributions, p. 20"
"t1r150",1879,"24 Feb.","1879?","Mirʾāt al-Sharq","Cairo","Amīn Nāṣif and Salīm ʿAnḥūrī","there is also one in 1882 and 1883 with Amīn Nāṣif (but not to be confused with a later Mirʾāt al-Sharq 1919-1939)","S, Ṭ","? Ayn, DKQ, AUB?"
"t1r151",1879,"11 Sept.",1879,"Miṣr al-Fatāt/La Jeune Egypte","Alexandria","Nicolas Gousso","French and Arabic","S",""
"t1r152",1879,"24 Dec.","1880?","Miṣr al-Qāhira","Paris","Adīb Isḥāq","","Ṭ","BnF:1880, Ayn, AUB"
"t1r153",1879,"16 Sept.","6 May 1880","Al-Naẓẓārāt al-Miṣriyya/Ennadarat el-Masriya","Paris","Shubbān Miṣr wa’l-Iskandariyya Jams Sānuwā","","Ṭ","BnF, online at archive.org, SBB: 1879-1880, reprint Beirut"
"t1r154",1879,"23 July","14 November?","Al-Salām","Istanbul","Jabrāʾīl Dallāl","","Ṭ","DKQ"
"t1r155",1879,"","22 January 1912","Ṣanʿāʾ","Sanaa","official","Arabic and Ottoman Turkish","Ṭ","HTU: 1299-1330 with breaks, MK"
"t1r157",1880,"","still in 1881","Abu’l-Ḥawl","Paris","?","","S",""
"t1r158",1880,"4 June","20 June 1880, 3 issues","Abū Ṣaffāra / Le Flutiste (pseudonym for Abū Naẓẓāra Zarqā)","Paris","Prof J Sanua","","Ṭ, S","BnF, DKQ, IMA: 1878-1910 , online at archive.org; reprint Beirut"
"t1r159",1880,"17 July","27 August 1880, 3 issues","Abū Zammāra / La Clarinette (pseudonym for Abū Naẓẓāra Zarqā)","Paris","Anon (= James Sanua)","","Ṭ, S","BnF, DKQ, IMA: 1878-1910 , online at archive.org; reprint Beirut"
"t1r160",1880,"","still in 1883","Al-Anbāʾ","Paris, later Leghorn (Livorno)","Ibrāhīm al-Muwayliḥī","","S",""
"t1r161",1880,"8 Jan.",1881,"Al-ʿAṣr al-Jadīd","Alexandria","Salīm Khalīl al-Naqqāsh","","+, Ṭ","Ayn, BnF, DKQ, AUB?"
"t1r162",1880,"16 April",1881,"Al-Ḥuqūq","Paris","Mikhāʾīl Jirjis al-ʿAwrā","","Ṭ","Ayn; BnF: 1880-1881"
"t1r163",1880,"","still 1886","Al-Insān","Istanbul","Ḥasan Ḥusnī al-Ṭuwayrānī","","",""
"t1r164",1880,"","three issues","Al-Ittiḥād/L’Union","Paris","Ibrāhīm al-Muwayliḥī","Ottoman Turkish and Arabic","Ṭ, S","SOAS"
"t1r165",1880,"1 Jan.","30 April 1904","Al-Miṣbāḥ","Beirut","Niqūlā al-Naqqāsh","","","AUB: 1880-1882, (Microfilm: Mic-Na:115, 1880-1899), DKQ"
"t1r166",1880,"","1951, annual","Mīzāniyyat al-Dawla al-Miṣriyya","Cairo","Niẓārat al-Khizāna","","S","CU"
"t1r167",1880,"","","Mufradāt Mīzāniyyat al-Ḥukūma al-Miṣriyya","Cairo","?","","S",""
"t1r168",1880,"","still 1881","Al-Mustaqbal","Cagliari, Sardinia","Yūsuf Bākhūs","","",""
"t1r169",1880,"28 March",1881,"Al-Mustaqill","Cagliari, Sardinia","Yūsuf Bākhūs and Zayn Zayn ?","","Ṭ",""
"t1r171",1880,"31 Dec.","","Nashrat al-Sharika al-Zirāʿiyya al-Miṣriyya/ Bulletin Société Egyptienne d’Agriculture","Cairo","Organ of al-Sharika al-Zirāʿiyya al-Miṣriyya","","Ṭ","Nashrat al-Jamʿiyya al-Zirāʿyya al-Miṣriyya"
"t1r172",1880,"","","Naṣrat al-Akhbār","Delhi","Naṣrat ʿAlī Khān","","Ṭ",""
"t1r173",1880,"","","Al-Rajāʾ","Paris","Ibrāhīm al-Muwayliḥī","","Ṭ",""
"t1r174",1880,"","","Al-Sharq","Paris","Adīb Isḥāq","","","BnF?"
"t1r176",1881,"8 April","7 April 1882, 6 October 1882, 10 January 1885-27 December 1890, February 1904- December 1910","Abou-Naddara/Abū Naẓẓāra/ L’Abou Naddara (conceived as the continuation of Abū Naẓẓāra Zarqā because the fifth volume)","Paris","Jams Sānuwā/Abou Naddara","Arabic, Arabic-French","Ṭ, S","BnF, IMA: 1878-1910 , reprint Beirut, online at archive.org"
"t1r177",1881,"","","Al-Aḥkām al-ʿAdliyya","?","unknown","","S check",""
"t1r178",1881,"","1882?","Akhbār Ṭibbiyya?","Beirut","Dr. George Post","","?",""
"t1r179",1881,"21 April",1882,"Al-Baṣīr / Al-Bassir","Paris","Yūsuf Bākhūs, Khalīl Ghānim and Ismāʿīl bin Yūsuf","","Ṭ","BnF, INALCO, SOAS, SBB: 1882, DKQ"
"t1r180",1881,"5 May","summer 1882, reappeared February 1883- November 1883","Al-Burhān","Alexandria, then Cairo","Muʿawwad Muḥammad Farīd andḤamza Fatḥ Allāh","","Ṭ","BnF, SBB: 1883, DKQ, Harv: 1881"
"t1r181",1881,"","","Al-Bustān","Algiers","?","","",""
"t1r182",1881,"","","Al-Fallāh / Le Cultivateur","Cairo","Organ of Société Egyptienne d’Agriculture/Al-Jamʿiyya al-Zirāʿiyya al-Miṣriyya","Arabic and French","",""
"t1r183",1881,"10 Feb.","nine issues","Al-Ghayra","London","ʿAbd al-Rasūl al-Hindī","Arabic and Persian","Ṭ, S",""
"t1r184",1881,"5 Feb.","25 March 1881, 4 issues","Al-Ḥāwī/Le Charmeur (pseudonym for Abū Naẓẓāra Zarqā)","Paris","Jams Sānuwā","","Ṭ, S","BnF, IMA: 1878-1910 , reprint Beirut, online at archive.org"
"t1r185",1881,"21 ? July","7 November 1881","Al-Ḥijāz","Cairo","Shaykh Ibrāhīm Sirāj al-Dīn al-Madanī","","","Ayn: 17 July 1881"
"t1r186",1881,"","still 1881, three issues","Al-Ittiḥād al-ʿArabī","London","Luwīs Ṣābūnjī","","Ṭ",""
"t1r187",1881,"2 Jan.",1966,"Al-Ittiḥād al-Miṣrī/L’Union Egyptienne","Alexandria","Raphaël Michaca and Māhir Ḥusayn Faraj","first French, then Arabic and French","Ṭ, S","DKQM: 1890-92, not full"
"t1r188",1881,"3 Jan.","","Al-Khilāfa","London","Luwīs Ṣābūnjī","one single pamphlet","Ṭ","no copy found so far"
"t1r189",1881,"Oct.",1882,"Miṣr","Alexandria, then Cairo","Adīb Isḥāq and ʿAwnī Isḥāq","","Ṭ",""
"t1r190","c1881","","","Mufarriḥ al-Qulūb","Calcutta, India?","unknown","","Ṭ",""
"t1r191",1881,"12 Oct.","August 1882, reappeared 15 November 1882-23 December 1882","Al-Mufīd","Cairo","Muṣṭafā Thāqib","","+?","Ayn, DKQ: 1881-1882"
"t1r192",1881,"","","Al-Mukhayyir","Algiers","unknown","","S",""
"t1r193",1881,"","","Al-Munṣif","Paris","?? Sanua???","perhaps much later, c. 1889 or 1899","S",""
"t1r194",1881,"2 May","May 1882, 12 issues","Al-Muntakhab","Cairo","Dr. Ḥasan Bey Maḥmūd","","Ṭ",""
"t1r195",1881,"","","Muntakhabāt al-Rāʾid al-Tūnisī al-Rasmiyya","Tunis","unknown","","S",""
"t1r196",1881,"",1882,"Al-Najāḥ","Cairo","Muṣṭafā Thāqib and Ḥasan al-Shamsī","","+",""
"t1r197",1881,"20 Nov.","summer 1882","Al-Ṭāʾif","Alexandria then from 5 January 1882 Cairo","ʿAbd Allāh Nadīm","","+, Ṭ","In the 1920s, there were some numbers still in the DKQ (Sabry, La Genèse, 106, n 2), still in DKQ catalogue:407, 30 Jarāʾid Taymūr"
"t1r198",1881,"6 June","23 October 1881, 19 issues","Al-Tankīt wa’l-Tabkīt","Alexandria","ʿAbd Allāh Nadīm","","Ṭ, S","Printed (Cairo: Al-Hayʾa al-Miṣriyya al-ʿĀmma li’l-Kitāb, 1994) and BL"
"t1r199",1881,"",1899,"Al-Tawaddud","Paris","James Sanua","","S",""
"t1r200",1881,"","1882?","Tawfīq","Egypt","unknown","no evidence of its publication","S, ʿAbd","ʿAṭṭār"
"t1r202",1882,"c. April","6 December 1884","Abou-Naddara Zarka - conceived as the continuation of Abou-Naddara/Abū Naẓẓāra/Abū Naẓẓāra Zarqāfrom the sixth volume, no. 8","Paris","Jams Sānuwā","","+","BnF, IMA: 1878-1910 , online at archive.org, reprint Beirut"
"t1r203",1882,"9 June","1882, 10 issues","Al-Aḥwāl","Alexandria","Salīm Taqlā and Bishāra Taqlā","","Ṭ, S","DKQ?"
"t1r204",1882,"","","Dalīl al-Bashīr","Beirut","Al-Ab Dānyīl al-Yasūʿī","Ghādir, 397: Dāmyānī al-Yasūʿī","S",""
"t1r205",1882,"",1882,"Al-Fusṭāṭ","Cairo","ʿAbd al-Ghanī al-Madanī","","+","Ayn"
"t1r206",1882,"22 May","6 June 1882","Al-Ḥaḍāra","Cairo","Mikhāʾīl Jirjis al-ʿAwrā","","S, Ṭ",""
"t1r207",1882,"31 July",1883,"Al-Iʿtidāl","Alexandria, then Cairo","Shaykh Ḥamza Fatḥ Allāh","","Ṭ","Ayn: 1883?, DKQ"
"t1r208",1882,"June","May 1883","Kawkab al-Mashriq/L’Astre d’Orient","Paris","ʿAbd Allāh Marrāsh","French and Arabic","","SOAS: 1882-1883"
"t1r209",1882,"25 Dec.","23 April 1883","Madrasat al-Funūn/Medrese-i Fünun","Istanbul","Ḥamdī Wahbī","Ottoman Turkish and Arabic","Ṭ, S","AEK, BDK, AKI, HTU, IÜ, MK"
"t1r210",1882,"6 April","summer 1882, reappeared 14 April 1883- 6 March 1886 (perhaps continuation of 1879)","Mirʾāt al-Sharq","Cairo","Khalīl al-Yāzijī and Amīn Nāṣif","under this name appeared in 1879 by Amīn Nāṣif","Ṭ",""
"t1r211",1882,"23 April","21 January 1883, 40 issues","Al-Muntakhab/ El-Montakheb","Constantine","Paul/Pierre Etienne Mauras","Arabic and French","","BnF"
"t1r212",1882,"June","May 1883, 36 issues","Najm al-Mashriq / L’Astre d’Orient","Paris","George Poydenot","Arabic and French","S","BnF"
"t1r213","1882?","",1917,"Al-Nashra al-Sanawiyya ʿan al-Tijāra al-Khārijiyya / Le Commerce Extérieur de l’Égypte","Cairo","Ministre de l’Intérieur; Direction Général de la Statistique","With the title Le Commerce Extérieur de l’Égypte pendant les années 1974,1875,1876, 1877 et 1878 a book was published in 1879 (Le Caire: Imprimerie de l’état-major général égyptien, 1879) that is a summary and report of F. Amici Bey to the Minister and Khedive Tawfīq. It is only in French. SBB: Ur 650.","",""
"t1r214",1882,"","still 1885","Rawḍat al-Iskandariyya","Alexandria","Salīm (Pasha) Ḥamawī","","+?, Ṭ","DKQ?"
"t1r215",1882,"",1882,"Al-Safīr","Cairo","Ḥasan al-Shamsī","","+","DKQ?"
"t1r216",1882,"6 March","September 1882, reappeared 12 February 1883-July 1886","Al-Zamān","Cairo","ʿAliksān Ṣarrafyān","","S, Ṭ","BL: 25 September 1882, DKQ"
"t1r218",1883,"9 Aug.","","Al-Anbāʾ","Livorno (earlier in Paris)","Ibrāhīm al-Muwayliḥī","","Ṭ",""
"t1r219",1883,"Feb. (reappeared)","","Al-Burhān","Cairo","Aḥmad Samīr","","S",""
"t1r220",1883,"1 Jan.",1889,"Al-Hadiyya","Beirut","Maṭrāniyyat al-Rūm al-Ūrthūdhūks/ Jamʿiyyat al-Taʿlīm al-Masīḥī fī Bayrūt","","","AUB: 1883, 1886, 1888-89, BnF: 1886-1889"
"t1r221",1883,"29 Aug.","","Al-Iʿtidāl","Istanbul","Aḥmad Qadrī","Arabic and Ottoman Turkish","Ṭ","DKQ?"
"t1r222",1883,"","","Kawkab al-Sharq","Paris","ʿAbd Allāh Marrāsh","","Ṭ",""
"t1r223",1883,"9 Dec.","","Lubān al-Albāb","Kiftīn (Lebanon)","Madrasat Kiftīn","","Ṭ",""
"t1r224",1883,"",1886,"Mirʾāt al-Sharq","Cairo","Amīn Nāṣif","","","BOSJ, IE, Ayn"
"t1r225",1883,"28 Jan.","1884, few issues","Al-Mubaṣṣir/El-Mobasser","Constantine","Paul Joseph and Pierre Orissa","French and Arabic","","BnF: 1883-1884"
"t1r226",1883,"","","Al-Sharq","Alexandria?","Bishāra Taqlā","","",""
"t1r227",1883,"","still 1895","Al-Taqaddum al-Miṣrī","Cairo","Shaykh Aḥmad al-Qūṣī","","+!",""
