"ID","Year of first issue","Day/month of first issue","Date of last issue","Title","Place of publication","Owners/ publishers/ editors","Comments","Source","Holdings"
"t1r593",1897,"Jan.","","Al-Burhān","Nicosia, Cyprus","Al-Shaykh Ḥabīb al-Khūrī","","Ṭ",""
"t1r594",1897,"","","Al-Būsta","Cairo","unknown","","S",""
"t1r595",1897,"June","","Al-Ghirbāl","Cairo","unknown","","Ṭ, S",""
"t1r596",1897,"25 June","","Al-Ḥākim","Cairo","Aḥmad Āshar Sulaymān al-Azharī","","Ṭ",""
"t1r597",1897,"1 June","","Al-Hidāya","Cairo","Muḥammad Amīn","","+!, Ṭ",""
"t1r598",1897,"","","Al-Hidāya al-ʿĀmma","Cairo","unknown","","S",""
"t1r599",1897,"24 Oct.","","Ḥulwān","","Ḥamdī Yūsuf Bey Yakan and Maḥmūd/Muḥammad Effendi Ṭāhir","","+!, Ṭ",""
"t1r600",1897,"22 Nov.","","Al-ʿIfrīt","Cairo","ʿAzīz Fahmī al-Tajāribī","colloquial Arabic (Egyptian)","Ṭ","DKQ"
"t1r601","c1897","","","Iqdām","Beirut","unknown","","",""
"t1r602",1897,"27 July","","Al-Istiqāma","Cairo","Muḥammad Walī al-Dīn Yakan","","+!, Ṭ","DKQ"
"t1r603",1897,"15 Nov.","","Al-Ittiḥād al-Islāmī / L’Union Islamique","Cairo","Eugène Clavel and Co","Arabic and French","+!, Ṭ",""
"t1r604",1897,"25 Oct.","","Al-Jalāʾ","Cairo","Muḥammad Shukrī","","Ṭ",""
"t1r605",1897,"June","June 1903","Al-Jāzit al-Muʾlin bi’l-Bashāʾir wa’l-Asrār","Zanzibar","R. N. Lyne","Arabic title from May 1898 of The Shamba /Jazīt al-Shānba","S, Ṭ= 24 December 1899","Kew"
"t1r606",1897,"June","June 1903","Jazīt al-Shānba / The Shamba","Zanzibar","R. N. Lyne","Arabic and English, official paper, subtitled: Journal of Agriculture for Zanzibar / al-Jarīda al-Hukmiyya al-Zirāʾiyya","S","Kew"
"t1r607",1897,"24 Aug.","","Al-Kahrubāʾiyya","Cairo","Salīm Sarkīs","","Ṭ",""
"t1r608",1897,"","","Al-Kawkab al-Durrī","Cairo","Muḥammad Qāsim al-Jundī","","ʿAbd: established in 1899",""
"t1r609",1897,"","4 parts","Kitāb Riyāqāt al-Nufūs","Tunis","Sīmāḥ bin Niṭān Līfī/ Simah b. Nathan ha-Lévy","Judeo-Arabic","S",""
"t1r610",1897,"19 May","","Al-Maʿārif","Cairo","Mullā ʿUthmān Mūṣilī","","Ṭ",""
"t1r611",1897,"June","","Al-Maʿlūmāt","Istanbul","Muḥammad Ṭāhir Bey","","","BL: 1897-1898"
"t1r612",1897,"15 July","","Al-Maʾmūn","Cairo","Amīn Ḥasan Bey and Aḥmad Ṣādiq","Ottomanist paper","+, Ṭ",""
"t1r613",1897,"","","Al-Maymūn","Cairo","N. A. and A. J.","","Ṭ",""
"t1r614",1897,"1 Jan.","","Mirʾāt al-Aṣr","Cairo","Yūsuf Sāmī and Aḥmad Zakī","","Ṭ gives both",""
"t1r615",1897,"1 Jan.","","Al-Mirsāḍ","Marseille","Fāris Anṭūn, al-Kūlūnīl Salīm Naffaʿ","Arabic and French","Ṭ",""
"t1r616",1897,"9 Feb.","","Al-Munāẓir","São Paolo, then Beirut, then Baʿbdā","Naʿūm Labakī and Fāris Simʿān Najm","","","DKQ, AUB?"
"t1r617","c1897","","","Al-Nāḍūr al-Miṣrī wa’l-Ẓarāʾif al-Gharāwatayn","","Ḥasan ʿAlī al-Miṣrī","","",""
"t1r618",1897,"1 June","","Al-Najāt","Cairo","Aḥmad Muḥammad al-Qūsī","","Ṭ",""
"t1r619",1897,"24 June","","Al-Nashʾa al-Waṭaniyya","Cairo","Aḥmad Fuʾād","","Ṭ",""
"t1r620",1897,"21 May","","Nashrat al-ʿAdāla","Cairo","Al-Khayyāmī","","Ṭ",""
"t1r621",1897,"4 Nov.","","Al-Nashra al-Idāriyya","Cairo","Qism al-Ḍabṭ bi-Niẓārat al-Dākhiliyya","","Ṭ",""
"t1r622",1897,"19 May","","Al-Nashra al-ʿUthmāniyya","Cairo","M. May and M. Mal","","Ṭ",""
"t1r623",1897,"1 March","","Al-Naṣr","Cairo","Muḥammad Murād and Muḥammad Fatḥī Rustum","","+!, Ṭ",""
"t1r624",1897,"26 Aug.","","Rāʾid al-Layl","Cairo","Al-Ṣādiq ibn al-Jidd","","Ṭ",""
"t1r625",1897,"Nov.","","Al-Rassām","Cairo","Ḥusayn Ṣabrī","","Ṭ",""
"t1r626",1897,"31 Aug.","","Al-Safīr","Cairo","Aḥmad Muḥammad and Muḥammad Ḥusayn","","Ṭ",""
"t1r627",1897,"26 Jan.","short lived, then again from 1902","Al-Ṣāʿiqa","Cairo","Aḥmad Fuʾād","","+, Ṭ","DKQ"
"t1r628",1897,"20 May",1898,"Al-Salṭana","Istanbul?, then Cairo","Iskandar Shalhūb","","+!, Ṭ","DKQ, BnF, AUB?"
"t1r629",1897,"21 Oct.","","Al-Samīr al-Ṣaghīr","Cairo","Jamʿiyyat al-Taʾlīf al-ʿIlmiyya","","+!, Ṭ","DKQ, AUC"
"t1r630",1897,"1 Jan.","","Al-Shudhūr","Aleppo","ʿAbd al-Masīḥ Anṭākī","","Ṭ","Ayn"
"t1r631",1897,"","","Ṭanṭā","Cairo","unknown","","+!",""
"t1r632",1897,"26 June","","Al-Taraqqī","Ṭarābulūs al-Gharb","Muḥammad al-Būsīrī","","Ṭ",""
"t1r633",1897,"1 Jan.","1900?","Al-Taʾrīkh al-Yawmī","Alexandria","Niqūlā Sābā al-Anṭākī","","Ṭ","DKQ"
"t1r634",1897,"20 Sept.","still in 1898","Al-Tijāra","Alexandria","Jurjī Ḥabīb","","+!, Ṭ",""
"t1r635",1897,"April","","Al-Tilighrāfāt al-Jadīda","Cairo","Muḥammad Mukhtār al-Bāyūrī","","Ṭ",""
"t1r636",1897,"22 May","","Turkiyā","Cairo","Qayṣar Bāshā Karam","","+, Ṭ","DKQ"
"t1r638",1898,"25 Dec.","","Abū Nuwās (reappearing?)","Alexandria","Yūsuf Kanʿān and Ilyās Kanʿān","Ṭ: January 1899 and 25 December 1898","S, Ṭ",""
"t1r639",1898,"","","Al-Adab","Alexandria","Aḥmad Fahmī","Ṭ gives in 1896 as well","Ṭ",""
"t1r640",1898,"","","Al-Afkār","Cairo","unknown","","S",""
"t1r641",1898,"25 Nov.","","Al-ʿĀlam","New York","Jurjī Jabbūr","","Ṭ",""
"t1r642",1898,"31 Jan.",1908,"Anīs al-Jalīs","Cairo","Aliksandrā Khūrī Afrīnūh/Alexandra Meltiyadi Aferino","","Ṭ, S","LOC, CU, BnF, DKQ?, IÜ, AUC (microform)"
"t1r643",1898,"5 May","","Anīs al-Tilmīdh","Cairo","Mūsā Banrūbī / Bin Rūbī","","Ṭ","DKQ?"
"t1r644",1898,"22 March","","Asad","Cairo","A A ʿ ?","","Ṭ",""
"t1r645",1898,"12 May","15 January 1899","Al-Aṣmaʿī","São Paolo","Khalīl Mulūk/Mallūk and Shukrī al-Khūrī","Ṭ gives also 15 January 1899","Ṭ, S","DKQ, BnF, Harv"
"t1r646",1898,"1 Jan.","17 May 1900","Al-Ayyām","New York","Yūsuf Nuʿmān al-Maʿlūf","Ṭ: 23 July 1897","Ṭ, S",""
"t1r647",1898,"30 May","","Baghula / Baghlat al-ʿUshr/Baghlit al-ʿIshar","Cairo","Ḥusayn Zakī","","S, Ṭ",""
"t1r648",1898,"17 Dec.","still in 1900","Al-Barāzil","São Paolo","Qayṣar Ibrāhīm al-Maʿlūf","","",""
"t1r649",1898,"","","Al-Barīd","","Ḥusayn Farīd","","",""
"t1r650",1898,"","","Al-Dābba","Alexandria","unknown","","S","DKQ?"
"t1r651",1898,"15 Sept.","July 1906","Al-Ḍiyāʾ","Cairo","Shaykh Ibrāhīm al-Yāzijī","","Ṭ","Dur, IMA: 1898-1906 online, SOAS, MEC, AUB, BOSJ, OIB, DKQ, Bonn: 1898-1906 online"
"t1r652",1898,"","","Faṣl al-Khiṭāb","Cairo","Ṭāniyūs ʿAbduh","There is a Faṣl al-Khiṭāb in Alexandria in 1896, too","+",""
"t1r653",1898,"20 May","","Al-Fīl al-Abyaḍ","Cairo","ʿAbd al-Raḥmān al-Marṣafī","","Ṭ",""
"t1r654",1898,"1 Jan.",1899,"Al-Filāḥa al-Miṣriyya","Cairo","Maḥmūd Anīs","","Ṭ",""
"t1r655",1898,"31 Jan.","","Al-Fukāha","Cairo","Dīmitrī Niqūlā/Dimitri Nicola","colloquial Arabic","+, Ṭ","AUB, DKQ, BnF?"
"t1r656",1898,"","","Ghādat al-Fikar","Beirut","Fuʾād Sālim and Sāmī Ṣahyūn","","",""
"t1r657",1898,"","","Al-Ghazāla","Cairo","N B","","Ṭ",""
"t1r658",1898,"","","Al-Ḥaqqāniyya","Alexandria","Shaykh Aḥmad ʿAbd al-Karīm","","Ṭ",""
"t1r659",1898,"14 Aug.","","Al-Ḥashshāsh","Alexandria","Aḥmad Ṣādiq","","",""
"t1r660",1898,"22 Feb.","18 February 1971","Al-Hudā","Philadelphia, 1903New York","Naʿūm Mukarzal","","Ṭ, S, SF","CRL: 1901-04; AUB, DKQ, BnF?, MKHC: 1898-1941, online only 1898-1905"
"t1r661",1898,"17 May","","Al-Ḥurūb","Cairo","Zakī Rizq Allāh","","Ṭ",""
"t1r662",1898,"","","Al-Iṣlāḥ","New York","Shibl Nāṣīf Dammūs / Dānūs","","Ṭ",""
"t1r663",1898,"6 Feb.","","Al-Jāsūs","Cairo","Amīn and Mahdī","","Ṭ",""
"t1r664",1898,"26 Aug.","","Al-Jazāʾir al-Faransiyya al-ʿArabiyya / L’Algérie Franco-Arabe","Constantine","M J Manalt d’Aunalt","French and Arabic","","BnF"
"t1r665",1898,"26 April","","Juhayna","Cairo","Maḥmūd Ṭāhir and Muḥammad Faraj","","Ṭ","DKQ"
"t1r666",1898,"11 April","3 May 1899","Kevkeb-i Osmānī / al-Kawkab al-ʿUthmānī","Istanbul","Maḥmūd Zakī","Arabic and Ottoman Turkish","Ṭ= 11 April 1900, S","AKI, HTU: vol 1 n 1: 11 April 1898, IÜ"
"t1r667",1898,"26 April","1898, 4 n","Al-Khayla al-Kadhdhāba","Cairo","unknown","colloquial Arabic","Ṭ, S","DKQ?"
"t1r668",1898,"","","Kurdistān","Cairo","Miqdād Midḥāt Bey Ibn Badrakhān Bāshā","Kurdish and Arabic?","Ṭ",""
"t1r669",1898,"30 March","","Al-Lijām","Cairo","unknown","colloquial Arabic","Ṭ, S",""
"t1r670","c1898","","1899?","Lisān al-ʿArab","","Najīb al-Ḥaddād","","",""
"t1r671",1898,"1 July","","Al-Maʿārif","Cairo","Ḥusayn Ṣabrī","the third journal in this name, but likely no connection","Ṭ",""
"t1r672",1898,"","","Al-Maʿhadī","Cairo","unknown","","",""
"t1r673",1898,"8 July","","Al-Mahdī","Cairo","Naʿūm Mukarzal","","Ṭ, S","DKQ, AUB"
"t1r674",1898,"1 Oct.","","Majallat al-Jamʿiyya al-Ṭibbiyya al-Miṣriyya","Cairo","Saʿd Sāmiḥ and Farīd ʿAbd Allāh","","Ṭ",""
"t1r675",1898,"3 May","","Majallat al-Nīl","Alexandria","Muṣṭafā Dimyāṭī","","Ṭ",""
"t1r676",1898,"","","Majmūʿat Qibrīs","Nicosia, Cyprus","unknown","","Ṭ",""
"t1r677",1898,"17 Sept.",1921,"Al-Manār","Latakia, Beirut1903, Latakia24 December 1921","Bishop Arsāniyūs Ḥaddād and Rashīd Naffāʿ","","Ṭ","DKQ, BnF, AUB: 1898-1905"
"t1r678",1898,"15 March",1941,"Al-Manār","Cairo","Muḥammad Rashīd Riḍā","","Ṭ","DKQ, BnF, BOSJ, BDK, MEC, SOAS, Dur, IÜ, OIB, SBB (Microfiche: 50 PF 10), Prin, available via HathiTrust, Waqfeya.com: vols. 1-22, OpenArabicPE: Digital full-text edition (without Riḍā's tafsīr), Sakhrit: facsimiles and (limited) index"
"t1r679",1898,"1 Jan.","interrupted WWI, 1 June 1971","Al-Mashriq","Beirut","Al-Ab Luwīs Shaykhū and al-Ab Luwīs Khalīl","","Ṭ","Cam, Dur, Ind Off, SOAS, BL: 1944-46, Bod, DKQ, AUB, BOSJ, BDK, IÜ, Sakhrit: facsimiles, MJU: 1924-62"
"t1r680",1898,"6 July","","Al-Masīḥ al-Dajjāl","Cairo","unknown","colloquial Arabic","Ṭ",""
"t1r681",1898,"16 April","","Al-Maṭālib al-Ḥaqqa","Cairo","Ḥusayn Shākir","","Ṭ",""
"t1r682",1898,"15 Nov.",1901,"Al-Mawsūʿāt","Cairo","Aḥmad Ḥāfiẓ ʿAwad and Maḥmūd Abu’l-Naṣr","","Ṭ, S","AUC"
"t1r683",1898,"10 Sept.","","Maẓallat Dāwūd","Cairo","Jamʿiyyat al-Taʿlīm al-Masīḥī al-Ūrthūdhūksiyya","","Ṭ",""
"t1r684",1898,"","","Al-Minkhās","Cairo","unknown","","Ṭ",""
"t1r685",1898,"15 Nov.","","Al-Mirṣād","Cairo","ʿAlī Luṭfī","","Ṭ",""
"t1r686",1898,"14 April","","Miṣbāḥ al-Sharq","Cairo","Ibrāhīm al-Muwayliḥī","","+, Ṭ","DKQ"
"t1r687",1898,"",1939,"Miṣr","","Shaykh Muḥammad Rashīd Riḍā","","S",""
"t1r688",1898,"26 May","","Al-Muḥāmī","Cairo","Kāmil al-Ḥakīm","","Ṭ",""
"t1r689",1898,"23 April","","Al-Muʿtaṣim","Cairo","Aḥmad Amīn / al-Majādī","","Ṭ, S",""
"t1r690",1898,"30 Oct.","","Al-Naṣīb","Cairo","Zakī Kuhīn and Rūfāʾīl Kuhīn / Mishāl Ḥakīm","","Ṭ",""
"t1r691",1898,"","","Al-Nīl","Alexandria","Muṣṭafā al-Dumyāṭī","","",""
"t1r692",1898,"1 June","","Al-Qamar","Cairo","Jurjī Ṭannūs","","Ṭ",""
"t1r693",1898,"20 Jan.",1899,"Al-Qānūn al-Asāsī","Cairo","Ṣāliḥ Jamāl and Shaykh Alizade Hoca Muhiddin","Ottoman Turkish and Arabic","Ṭ, S","AKI, HTU"
"t1r694",1898,"14 March","","Al-Qawl al-Ḥaqq","Cairo","ʿAzīz Ṭarāblūsī","","Ṭ",""
"t1r695",1898,"31 Aug.","still in 1898","Al-Rāʾid al-Miṣrī","Cairo","Muḥammad al-Tūnisī and Niqūlā Shahāda","","","DKQ, AUB, TUB: 1897"
"t1r696",1898,"","","Al-Rajāʾ","Alexandria","Jurjī Ḥabīb","","Ṭ",""
"t1r697",1898,"15 Jan.","still in 1899","Al-Raqīb","Alexandria","Najīb Ibrāhīm Ṭrād, Jurjī Gharzūzī","","Ṭ","DKQ?"
"t1r698",1898,"13 Sept.","","Al-Saʿāda","Alexandria","ʿAbd al-Fattāḥ Effendi Bayhum","","Ṭ","AUB, DKQ?"
"t1r699",1898,"","","Al-Saʿāda","Lebanon","unknown","","S",""
"t1r700",1898,"12 June",1899,"Al-Ṣabāḥ","Cairo","ʿAbduh Badrān and Muḥammad Ghānim","","Ṭ, S",""
"t1r701",1898,"April","","Al-Ṣadā al-Miṣrī","Cairo","Muḥammmad Rāghib Qaddūr al-Jazāʾirī","","",""
"t1r702",1898,"31 Aug.","","Al-Ṣādiq","Alexandria","Yaʿqūb Murād and Aḥmad Ṣādiq","Arabic and Ottoman Turkish","Ṭ","DKQ"
"t1r703",1898,"1 Sept.","","Al-Ṣadīq","Cairo","Muḥyī al-Dīn Saʿīd","","Ṭ",""
"t1r704",1898,"","","Al-Sāʿiqa","Buenos Aires, Argentina","al-Khūrī Yuḥannā Saʿīd","","",""
"t1r705",1898,"June","reappeared 1899","Al-Salām","Alexandria","Ghālib Ṭulaymāt and Najīb al-Ḥaddād","","Ṭ","DKQ, AUB, 1897?"
"t1r706",1898,"1 Nov.","still in 1900","Al-Shahbāʾ","Cairo","ʿAbd al-Masīḥ Anṭākī / Awmān/ Ūmīr Ḥakīm","The third journal in this name, but likely no connection","Ṭ, S","DKQ?"
"t1r707",1898,"13 June","","Shams al-Ḥaqīqa","Cairo","Muḥammad Amīn","","Ṭ","DKQ"
"t1r708",1898,"","","Al-Shayṭān","Cairo","Tawfīq Ḥabīb","","Ṭ",""
"t1r709",1898,"April","","Al-Sūdān al-Miṣrī","Cairo","Muḥammad Rāghib Qaddūr al-Jazāʾirī","","Ṭ","DKQ"
"t1r710",1898,"","","Al-Taqwīm al-Miṣrī","Cairo","Jirjis Rufāʾīl Kuḥayl","","S",""
"t1r711",1898,"","","Al-Taʾrīkh","Alexandria","Niqūlā Sābā al-Anṭākī","","Ṭ",""
"t1r712",1898,"4 March","","Al-Taʾrīkh al-Qawmī","Alexandria","unknown","","Ṭ",""
"t1r713",1898,"10 Feb.","","Tasliyat al-Khawāṭir","Cairo","Sabʿ Shumayyil","","Ṭ","Alex Mun, DKQ"
"t1r714",1898,"21 May","still in 1899","Al-ʿUthmānī","Beirut, then Alexandria","Amīn al-Khūrī and Niqūlā Rizq Allāh","","Ṭ, S","1899 in Fak 160, DKQ, AUB, BnF"
"t1r715",1898,"5 May","","Al-Wāsiṭa","Cairo","Maṭbaʿa Hindiyya?","","Ṭ",""
"t1r716",1898,"","","Yıldız/ Yildīz","Cairo","al-Tarsūsī-Zādah Munīf","Arabic - Ottoman Turkish - English","","BL: 1898"
"t1r717",1898,"","","Al-Zaman","Cairo","Maḥmūd Ḥamdī and Muḥammad Hilālī al-Abyārī","","Ṭ","DKQ"
"t1r719",1899,"1 April","","Al-ʿĀʾila","Cairo","Istīr Mūyāl","","Ṭ","BnF?, DKQ"
"t1r720",1898,"2 Aug.","","Abu’l-Hudā","Cairo","Ḥilmī Murād","","Ṭ",""
"t1r721",1899,"8 Oct.","","Al-Āmāl","Alexandria","Najīb Gharghūr","Thamarāt al-Funūn 17 Apr. 1899 in Beirut already claims to have received a number of issues","Ṭ","in Fak 158, DKQ"
"t1r722",1899,"6 March","","Anīn Maẓlūm","Cairo","Amīn Anṭākī","Arabic and Ottoman Turkish","Ṭ","AKI, DKQ?"
"t1r723",1899,"23 Nov.","","Al-Asad al-Murqusī","Cairo","Jamʿiyyat al-Waḥda al-Murqusiyya","","Ṭ","DKQ"
"t1r724",1899,"17 May","","Al-Asās al-ʿIlmī","Cairo","Aḥmad Farīd","","Ṭ",""
"t1r725",1897,"","1902?","Al-Ayyām","New York","Yūsuf Nuʿmān al-Maʿlūf","","","MKHC: not online"
"t1r726",1899,"","","Al-Bayān","Cairo","Najīb al-Ḥaddād","","",""
"t1r727",1899,"22 May","","Burhān al-Ḥaqq","Alexandria","Maḥmūd Ḥamdī and Muḥammad Fahmī Muḥsib","","Ṭ","DKQ"
"t1r728",1899,"21 Jan.","","Al-Burṣa al-Miṣriyya","Cairo","Hinrī Būtīnīh / Henri Botinier","","Ṭ",""
"t1r729",1899,"","","Al-Fawḍā","Cairo","Tawfīq Jānā","","Ṭ",""
"t1r730",1899,"","until 1960s","Al-Ghāzītiyya al-Sūdāniyya","Al-Kharṭūm","official","With various titles","","BL, LOC"
"t1r731",1899,"27 Feb.","short lived","Ghazl al-Banāt","Cairo","unknown","colloquial Arabic","Ṭ",""
"t1r732",1899,"","","Ḥadīqat al-Maʿārif","Beirut","Najīb Naṣṣār and Bashīr Qaṣṣār","","Ṭ",""
"t1r733",1899,"9 June",1915,"Al-Ḥayāt","?Suez","Muḥammad Farīd Wajdī","","Ṭ","DKQ"
"t1r734",1899,"1 Aug.","still in 1900","Al-Ḥikma","Beni Suef","Mursī Maḥmūd and Ḥasan ʿĪsā","","Ṭ","DKQ"
"t1r735",1899,"24 Feb.",1908,"Ḥimārat Munyatī","Cairo","Muḥammmad Tawfīq al-Azharī and Muḥammad Ḥilmī ʿAzīz","colloquial Arabic (Egyptian). ʿAbd: established in 1897","Ṭ, S, Ziad Fahmy","SOAS: 1896?, DKQ: 1899?, AUC (microform)"
"t1r736",1899,"1 Jan.","","Idrīs","Cairo","Khalīl Batrīkī ʿAwrāʾ","","Ṭ",""
"t1r737",1899,"14 July","","Al-Irshād","Alexandria","Muḥammad Fakhrī / Jamʿiyyat al-Irshād al-ʿIlmiyya","","Ṭ, S",""
"t1r738",1899,"","","Al-Iskandariyya","Alexandria","Tawfīq Farghalī","","Ṭ",""
"t1r739",1899,"","","Al-Iṣlāḥ","New York","unknown","","",""
"t1r740",1899,"Aug.","","Al-Iʿtidāl","Alexandria","Jamʿiyyat al-Iʿtidāl","","Ṭ","DKQ?"
"t1r741",1899,"15 March",1906,"Al-Jāmiʿa","Alexandria, then 1907 New York, then again Alexandria in 1909","Faraḥ Anṭūn","The first 12 issues carried the title al-Jāmiʿa al-ʿUthmāniyya","Ṭ, S","SOAS, DKQ, AUB, BnF, BOSJ, OIB, Bonn: 1899-1910 online"
"t1r742",1899,"15 March",1910,"Al-Jāmiʿa al-ʿUthmāniyya","Alexandria, then 1907 New York, then Alexandria 1909","Faraḥ Anṭūn","","","SOAS, DKQ, AUB, BnF, BOSJ, OIB, BONN: online, 1899-1910, Sakhrit: facsimiles and (limited) index"
"t1r743","1899?","","","Al-Kawkab al-Durrī","Alexandria","Muḥammad Qāsim al-Jundī","","S",""
"t1r744",1899,"23 July","","Al-Kawkab al-Miṣrī","Alexandria","Muṣṭafā Kāmil","","Ṭ",""
"t1r745",1899,"1 Sept.","","Al-Kawkab al-Sārī","Alexandria","Muḥammmad Qāsim al-Jundī / Jamʿiyyat al-Kawkab al-Sārī","","Ṭ, S",""
"t1r746",1899,"16 Aug.","","Al-Kawthar","Cairo","Jūrj Tannūs and Tawfīq Faraḥ/Farākh?","","Ṭ","DKQ, AUB"
"t1r747",1899,"28 Sept.",1906,"Al-Khilāfa","London","Salīm Fāris (al-Shidyāq)","","Ṭ, S","BL"
"t1r748",1899,"4 May","","Al-Madāris","Cairo","Group of Egyptian writers","","Ṭ, S",""
"t1r749",1899,"","","Al-Maghrib","Tangier","unknown","","",""
"t1r750",1899,"25 Jan.","","Al-Maḥabba","Beirut","Faḍl Allāh Fāris Abī Ḥalqa, Jamʿiyyat al-Taʿlīm al-Masīḥī al-Ūrthūdhūksiyya","Greek orthodox paper","Ṭ, S","BnF: 1899-1903, AUB, DKQ, Len, Aqṣā: 1901 (EAP119/1/7)."
"t1r751",1899,"1 Jan.","","Majallat al-Jamʿiyya al-Zirāʿiyya al-Khudaywiyya","Cairo","Mr Forn and Mr McCanzy","","Ṭ",""
"t1r752",1899,"14 Dec.","","Al-Manāra (madrasiyya)","Beirut","Yūsuf al-Ḥuwayk","","Ṭ",""
"t1r753",1899,"9 Feb.","","Al-Manāẓir","São Paolo","Naʿūm Labakī, Fāris Simʿān Najm","","Ṭ",""
"t1r754",1899,"19 Sept.","until 1960s?","Mirʾāt al-Gharb","New York","Najīb Mūsā Diyāb","","Ṭ, SF","LoC; CRL; MKHC: online: 1910-22, but scope is 1910-1961"
"t1r755",1899,"20 May",1934,"Al-Mumtāz","Tanta","Muṣṭafā Shāṭir and Ṣalāḥ al-Dīn Shāṭir","","Ṭ",""
"t1r756",1899,"15 Feb.","October 1903, irregular","Al-Munṣif /L’Almonsef (L’Équitable) d’Abou Naddara","Paris","Al-Shaykh J. Sānuwā Abu Naẓẓāra","Arabic-Ottoman Turkish-Persian-French","Ṭ, S","BL, SOAS, reprint Beirut, 1881??, IMA: 1878-1910"
"t1r757",1899,"","","Al-Mushīr","New York","unknown","","",""
"t1r758",1899,"","","Al-Mustashār?","Cairo","Ibrāhīm Adham","","",""
"t1r759","1899?","June","","Al-Mustashār","Shibīn al-Kawm (Shibin el-Kom)","Ibrāhīm Adham","","Ṭ",""
"t1r760",1899,"11 Oct.","13 December 1900, 62 issues","Al-Nāṣiḥ (Ṭ= Al-Naṣīḥ)","Algiers","Edouard Gasselin/Ghaslīn?","","S, Ṭ","BnF?"
"t1r761",1899,"9 Sept.","","Al-Nūr","Cairo","Tādrus Shanūda al-Manqabādī","","Ṭ",""
"t1r762",1899,"1 Jan.","","Rawḍat al-Baḥrayn","Shibīn al-Kawm (Shibin el-Kom)","Ibrāhīm Adham","","Ṭ","DKQ"
"t1r763",1899,"1 May","","Rawḍat al-Maʿārif","Beirut","Salīm al-Unsī and Shākir Abū Nāḍir","","Ṭ",""
"t1r764",1899,"","","Ṣadā al-Ahrām","Alexandria","Bishāra Taqlā, Salīm Taqlā","","Ṭ, S","DKQ, AUB?"
"t1r765",1899,"Jan.","","Ṣadā al-Janūb","Buenos Aires, Argentina","Al-Khūrī Yuḥannā Saʿīd","","Ṭ",""
"t1r766",1899,"10 Nov.","","Al-Shahāma","Cairo","Muḥammad Fahmī (and Muḥammad Najīb?)","","Ṭ","DKQ"
"t1r767",1899,"15 Aug.","","Silsilat al-Riwāyāt","Cairo","Maḥmūd Khuḍr and Bashīr Shawkatlī","","Ṭ",""
"t1r768",1899,"","4 issues","Siyāḥatī/Seyahati; resimli devr-i âlem","Istanbul","Luwīs Ṣābūnjī","Ottoman Turkish and Arabic","Ṭ= 1899, Arabic title provided by Ṭ.","HARV: second issue, later perhaps bound together under the title Resimli devr-i âlem seyahatnamesi (Strauss 2003: 73 n164)"
"t1r769",1899,"March","few issues","al-Ṣubḥ","Buenos Aires, Argentina","Khalīl Mulūk/Mallūk, Shukrī al-Khūrī, Khalīl Shāʾul","","Ṭ",""
"t1r770",1899,"","","Ṣūq al-ʿAṣr","Cairo","Muḥammad Faraj and Ḥamdī Yakan","","Ṭ",""
"t1r771",1899,"Oct.","","Al-Tadhkār","Cairo","Muḥammad Ṣādiq and Muḥammad ʿAlī Khaṭṭāb","","Ṭ",""
"t1r772",1899,"","","Al-Tamaddun","Buenos Aires, Argentina","Ḥabīb Isṭifān","","S, SF","AUB: 1926"
"t1r773",1899,"5 Feb.","10 October 1899, 7 issues; 20 March 1900 - 9 January 1903 irregular","Al-Tawaddud / L’Attawadad d’Abou Naddara","Paris","Al-Shaykh J. Sānuwā Abu Naẓẓāra","Arabic and French","S","IMA: 1878-1910"
"t1r774",1899,"","","Al-Wājibāt","Cairo","ʿAbd al-Ḥalīm Ḥamdī","","Ṭ",""
"t1r775",1899,"1 Dec.","","Al-Wakīl","Cairo","unknown","","Ṭ",""
"t1r776",1899,"1 Dec.","","Al-Waṭaniyya","Philadelphia","Naʿūm Mukarzal","","Ṭ",""
"t1r777",1899,"10 Dec.","","Zahrat al-Kulliyya","Beirut","Asʿad Mudarrī","","Ṭ",""
"t1r778",1899,"8 March","","Al-Ẓuhūr","Alexandria","ʿAlī Nūr","","Ṭ",""
"t1r780",1900,"","","Abū Nuwās","Brazil?","Jirjis ʿAbd Allāh Maʿlūf","","S",""
"t1r781",1900,"","for 35 years","Al-ʿAdl","Rio de Janeiro","Shukrī Jirjis Anṭūn","","S",""
"t1r782",1900,"12 Aug.","","Al-Afkār","Cairo","Ḥilmī Ṣādiq","","Ṭ","DKQ"
"t1r783",1900,"","","Al-Ikhāʾ","Cairo","Muḥammad Kāmil Kāshif","","","DKQ"
"t1r784",1900,"1 Sept.","","Al-ʿArab","Cairo","unknown","","Ṭ",""
"t1r785",1900,"15 April","","Al-ʿAṣr al-Jadīd","Cairo","Iskandar Shalhūb","","Ṭ","DKQ, AUB, BnF?"
"t1r786",1900,"",1904,"Ayn Shams","Cairo","Aqlūdīyūs Yūḥannā Labīb al-Mīrī","Arabic and Coptic","Ṭ, S","BL, DKQ"
"t1r787",1900,"25 Nov.","","Al-Badr al-Munīr","Cairo","Jamʿiyyat al-Mabāḥith al-ʿIlmiyya","","Ṭ",""
"t1r788",1900,"6 June","","Al-Baḥbaḥa","Alexandria","Al-Sayyid Tawfīq and ʿAbd al-Ḥamīd Ṣāliḥ","","Ṭ","DKQ"
